93,138,168,1
0,48,143,1
114,160,193,1
163,38,56,1
240,248,255,1
227,38,54,1
196,98,16,1
239,222,205,1
229,43,80,1
255,191,0,1
255,126,0,1
255,3,62,1
153,102,204,1
164,198,57,1
242,243,244,1
205,149,117,1
145,92,131,1
132,27,45,1
250,235,215,1
0,128,0,1
141,182,0,1
251,206,177,1
0,255,255,1
127,255,212,1
75,83,32,1
59,68,75,1
233,214,107,1
178,190,181,1
135,169,107,1
255,153,102,1
165,42,42,1
253,238,0,1
110,127,128,1
86,130,3,1
0,127,255,1
240,255,255,1
137,207,240,1
161,202,241,1
244,194,194,1
33,171,205,1
250,231,181,1
255,225,53,1
124,10,2,1
132,132,130,1
152,119,123,1
188,212,230,1
159,129,112,1
245,245,220,1
156,37,66,1
255,228,196,1
61,43,31,1
254,111,94,1
191,79,81,1
0,0,0,1
61,12,2,1
37,53,41,1
59,60,54,1
255,235,205,1
165,113,100,1
49,140,231,1
172,229,238,0
250,240,190,0
0,0,255,0
162,162,208,0
31,117,254,0
102,153,204,0
13,152,186,0
0,147,175,0
0,135,189,0
51,51,153,0
2,71,254,0
18,97,128,0
138,43,226,0
222,93,131,0
121,68,59,0
0,149,182,0
227,218,201,0
204,0,0,0
0,106,78,0
135,50,96,0
0,112,255,0
181,166,66,0
203,65,84,0
29,172,214,0
102,255,0,0
191,148,228,0
195,33,72,0
255,0,127,0
8,232,222,0
209,159,232,0
244,187,255,0
255,85,163,0
251,96,127,0
0,66,37,0
205,127,50,0
150,75,0,0
165,42,42,0
255,193,204,0
231,254,255,0
240,220,130,0
72,6,7,0
128,0,32,0
222,184,135,0
204,85,0,0
233,116,81,0
138,51,36,0
189,51,164,0
112,41,99,0
83,104,114,0
95,158,160,0
145,163,176,0
0,107,60,0
237,135,45,0
227,0,34,0
255,246,0,0
166,123,91,0
75,54,33,0
30,77,43,0
163,193,173,0
193,154,107,0
239,187,204,0
120,134,107,0
255,239,0,0
255,8,0,0
228,113,122,0
0,191,255,0
89,39,32,0
196,30,58,0
0,204,153,0
150,0,24,0
215,0,64,0
235,76,66,0
255,0,56,0
255,166,201,0
179,27,27,0
153,186,221,0
237,145,33,0
6,42,120,0
146,161,207,0
172,225,175,0
0,123,167,0
47,132,124,0
178,255,255,0
73,151,208,0
222,49,99,0
236,59,131,0
0,123,167,0
42,82,190,0
109,155,195,0
0,122,165,0
224,60,49,0
160,120,90,0
250,214,165,0
54,69,79,0
230,143,172,0
223,255,0,0
127,255,0,0
222,49,99,0
255,183,197,0
205,92,92,0
222,111,161,0
168,81,110,0
170,56,30,0
123,63,0,0
210,105,30,0
255,167,0,0
152,129,123,0
227,66,52,0
210,105,30,0
228,208,10,0
251,204,231,0
0,71,171,0
210,105,30,0
111,78,55,0
155,221,255,0
248,131,121,0
0,46,99,0
140,146,172,0
184,115,51,0
218,138,103,0
173,111,105,0
203,109,81,0
153,102,102,0
255,56,0,0
255,127,80,0
248,131,121,0
255,64,64,0
137,63,69,0
251,236,93,0
179,27,27,0
100,149,237,0
255,248,220,0
255,248,231,0
255,188,217,0
255,253,208,0
220,20,60,0
190,0,50,0
0,255,255,0
0,183,235,0
255,255,49,0
240,225,48,0
0,0,139,0
101,67,33,0
93,57,84,0
164,0,0,0
8,69,126,0
152,105,96,0
205,91,69,0
0,139,139,0
83,104,120,0
184,134,11,0
169,169,169,0
1,50,32,0
0,65,106,0
26,36,33,0
189,183,107,0
72,60,50,0
115,79,150,0
139,0,139,0
0,51,102,0
85,107,47,0
255,140,0,0
153,50,204,0
119,158,203,0
3,192,60,0
150,111,214,0
194,59,34,0
231,84,128,0
0,51,153,0
135,38,87,0
139,0,0,0
233,150,122,0
86,3,25,0
143,188,143,0
60,20,20,0
72,61,139,0
47,79,79,0
23,114,69,0
145,129,81,0
255,168,18,0
72,60,50,0
204,78,92,0
0,206,209,0
148,0,211,0
155,135,12,0
0,112,60,0
85,85,85,0
215,10,83,0
169,32,62,0
239,48,56,0
233,105,44,0
218,50,135,0
250,214,165,0
185,78,72,0
112,66,65,0
193,84,193,0
0,75,73,0
153,85,187,0
204,0,204,0
255,203,164,0
255,20,147,0
132,63,91,0
255,153,51,0
0,191,255,0
102,66,77,0
21,96,189,0
193,154,107,0
237,201,175,0
105,105,105,0
30,144,255,0
215,24,104,0
133,187,101,0
150,113,23,0
0,0,156,0
225,169,95,0
85,93,80,0
194,178,128,0
97,64,81,0
240,234,214,0
16,52,166,0
125,249,255,0
255,0,63,0
0,255,255,0
0,255,0,0
111,0,255,0
244,187,255,0
204,255,0,0
191,0,255,0
63,0,255,0
143,0,255,0
255,255,0,0
80,200,120,0
180,131,149,0
150,200,162,0
193,154,107,0
128,24,24,0
181,51,137,0
244,0,161,0
229,170,112,0
77,93,83,0
79,121,66,0
255,40,0,0
108,84,30,0
206,32,41,0
178,34,34,0
226,88,34,0
252,142,172,0
247,233,142,0
238,220,130,0
255,250,240,0
255,191,0,0
255,20,147,0
204,255,0,0
255,0,79,0
1,68,33,0
34,139,34,0
166,123,91,0
0,114,187,0
134,96,142,0
204,255,0,0
199,44,72,0
246,74,138,0
255,0,255,0
193,84,193,0
255,119,255,0
199,67,117,0
228,132,0,0
204,102,102,0
220,220,220,0
228,155,15,0
248,248,255,0
176,101,0,0
96,130,182,0
230,232,250,0
212,175,55,0
255,215,0,0
153,101,21,0
252,194,0,0
255,223,0,0
218,165,32,0
168,228,160,0
128,128,128,0
70,89,69,0
128,128,128,0
190,190,190,0
0,255,0,0
28,172,120,0
0,128,0,0
0,168,119,0
0,159,107,0
0,165,80,0
102,176,50,0
173,255,47,0
169,154,134,0
0,255,127,0
102,56,84,0
68,108,207,0
82,24,250,0
233,214,107,0
63,255,0,0
201,0,22,0
218,145,0,0
128,128,0,0
223,115,255,0
244,0,161,0
240,255,240,0
0,127,191,0
73,121,107,0
255,29,206,0
255,105,180,0
53,94,59,0
113,166,210,0
252,247,94,0
0,35,149,0
178,236,93,0
19,136,8,0
205,92,92,0
227,168,87,0
111,0,255,0
0,65,106,0
75,0,130,0
0,47,167,0
255,79,0,0
186,22,12,0
192,54,44,0
90,79,207,0
244,240,236,0
0,144,0,0
255,255,240,0
0,168,107,0
248,222,126,0
215,59,62,0
165,11,94,0
52,52,52,0
250,218,94,0
189,218,87,0
41,171,135,0
76,187,23,0
124,28,5,0
195,176,145,0
240,230,140,0
232,0,13,0
8,120,48,0
214,202,221,0
38,97,156,0
254,254,34,0
169,186,157,0
207,16,32,0
204,204,255,0
255,240,245,0
181,126,220,0
196,195,208,0
148,87,235,0
238,130,238,0
230,230,250,0
251,174,210,0
150,123,182,0
251,160,227,0
230,230,250,0
124,252,0,0
255,247,0,0
255,250,205,0
227,255,0,0
26,17,16,0
253,213,177,0
173,216,230,0
181,101,29,0
230,103,113,0
240,128,128,0
147,204,234,0
245,105,145,0
224,255,255,0
249,132,239,0
250,250,210,0
211,211,211,0
144,238,144,0
240,230,140,0
177,156,217,0
255,182,193,0
233,116,81,0
255,160,122,0
255,153,153,0
32,178,170,0
135,206,250,0
119,136,153,0
179,139,109,0
230,143,172,0
255,255,224,0
200,162,200,0
191,255,0,0
50,205,50,0
0,255,0,0
157,194,9,0
25,89,5,0
250,240,230,0
193,154,107,0
108,160,220,0
83,75,79,0
230,32,32,0
255,0,255,0
202,31,123,0
255,0,144,0
170,240,209,0
248,244,255,0
192,64,0,0
251,236,93,0
96,80,220,0
11,218,81,0
151,154,170,0
255,130,67,0
116,195,101,0
136,0,133,0
195,33,72,0
128,0,0,0
176,48,96,0
224,176,255,0
145,95,109,0
239,152,170,0
115,194,251,0
229,183,59,0
102,221,170,0
0,0,205,0
226,6,44,0
175,64,53,0
243,229,171,0
3,80,150,0
28,53,45,0
221,160,221,0
186,85,211,0
